review_id;review_date;review_text;rating;country;language;verified;review_length;year;month;post_betsy;period;sentiment
69ec1710f8734dbf2d13d1aa;4/25/2026 3:21;The whole team was exceptionally helpful and was able to answer any questions I had, everything was done in a timely manner, and worked diligently to complete the process;5;US;en;TRUE;170;2026;4/1/2026;1;Post-Betsy;0,4754
69eacc45947a9857d233c5a3;4/24/2026 3:49;Loan originator and loan coordinator made the process seamless and easy to navigate. Great rates, very transparent and very competitive loan costs. ;5;US;en;TRUE;148;2026;4/1/2026;1;Post-Betsy;0,8399
69eac948895e1864359c1b0e;4/24/2026 3:37;John and Sonia made my experience outstanding.  They are consummate professionals in every sense of that word.  They were very quick in responding to my questions, provided detailed information and available well regular work hours.   ;5;US;en;TRUE;235;2026;4/1/2026;1;Post-Betsy;0,7269
69e800cc2103495ba71fbf80;4/22/2026 0:57;Irene Lee (my loan officer) was professional, knowledgeable and very relatable (great interpersonals) throughout the process. Later I work w Brie Williams (also very good). Technology and the application process is very good - but ultimately people made the process great. ;5;US;en;TRUE;273;2026;4/1/2026;1;Post-Betsy;0,9106
69e7539c12572682026d8adb;4/21/2026 12:38;Richard came to my nursery today to help with our phones and wifi, he made me and the whole nursery feel  comfortable. He made sure everything was sorted before leaving. This isn't always the easiest of nurseies to instal things as the building is very old however, Richard made sure we were up and running with everythig :-) ;5;GB;en;FALSE;326;2026;4/1/2026;1;Post-Betsy;0,8614
69e4b63ac82f5a6e8a860def;4/19/2026 13:02;"Better is great!   Helped with a Heloc; all digital process except  signing closing papers.  Website helped with knowing where you are in process at all times!   My contact team was great!";5;US;en;TRUE;188;2026;4/1/2026;1;Post-Betsy;0,9182
69e4462dc8c7422e3a5d741b;4/19/2026 5:04;The process was fast, the ppl who helped me was professional & helpful;5;US;en;TRUE;70;2026;4/1/2026;1;Post-Betsy;0,4215
69e2a514acd956ac029fc41e;4/17/2026 23:24;Had a great experience, they are very professional and thorough with an ability to implement.  Very happy with your service and highly recommend. ;5;US;en;TRUE;146;2026;4/1/2026;1;Post-Betsy;0,9214
69e20f9ffb3b80a13ddb8c68;4/17/2026 12:46;It was very easy, the dashboard page kept me updated and let me know what information they needed plus I received email updates.;5;US;en;TRUE;128;2026;4/1/2026;1;Post-Betsy;0,4927
69e0f7ad155737653d8e75dc;4/16/2026 16:52;The whole process was very easy and quick. Our loan officer and processor were both great to work with!;5;US;en;TRUE;103;2026;4/1/2026;1;Post-Betsy;0,8217
69de5dc6686c2b9d8eaa7c01;4/14/2026 17:31;With Shan?àôs help, I was able to work through some of the most challenging parts of the process. I truly appreciate his support and understanding of my situation. I would not have been able to complete the process without him. Thank you so much, Shan.;5;US;en;TRUE;250;2026;4/1/2026;1;Post-Betsy;0,8684
69dc337c8b2341c89f1c3c58;4/13/2026 2:06;Responsive team... application was easy to follow...would definitely recommend ;5;US;en;TRUE;79;2026;4/1/2026;1;Post-Betsy;0,8625
69da85f23da838e5640fc34e;4/11/2026 19:33;The overall experience was great. The entire process was done through online and made it easier to apply. Robert & Monica was very helpful with giving us options and making sure we chose the right option.;4;US;en;TRUE;204;2026;4/1/2026;1;Post-Betsy;0,932
69d9b97320248b9b3d36a857;4/11/2026 5:01;Excellent Experience and got the job done!;5;US;en;TRUE;42;2026;4/1/2026;1;Post-Betsy;0,6114
69d8fe63cc2f936f9724f32e;4/10/2026 15:42;What a bunch of con artists. My loan officer deceitfully talked me into hard pulling my credit after he came back with a crazy high loan amount that I knew was too good to be true. But since my house is worth 280k and I owe 190 I figured they would just lower the amount. My credit is 800. Nope - outright denied. DO NOT LET THEM HARD PULL YOUR CREDIT IF YOU HAVE SUSPICIONS ITS TOO GOOD TO BE TRUE. THEY ARE JUST LIKE ANY OTHER CORPORATION ;1;US;en;FALSE;441;2026;4/1/2026;1;Post-Betsy;0,9762
69d814a7b08e67ddc16571af;4/9/2026 23:05;"the process was swift and the team I worked with was very efficient.
I do have bad reviews regarding the disbursement company Mortgage connect, many phone calls were made, could not get a competent person to deal with my questions. they did not follow the closing table, still trying to reconcile the account";5;US;en;TRUE;308;2026;4/1/2026;1;Post-Betsy;-0,1454
69d6d51d2f4a039ff3b58d21;4/9/2026 0:22;follow up over the phone and understanding and patients of time it takes to get all tasks done as a working family ;5;US;en;TRUE;115;2026;4/1/2026;1;Post-Betsy;0
69d53d1823cef768e53234c4;4/7/2026 19:21;"I wish I had checked some reviews before working with your team. I applied to refinance my home, and the process initially went smoothly. For nearly two weeks, there was good communication between me, the Loan Consultant, and the Coordinator. Ultimately, my application was denied because the appraised value was too low for the requested terms, which I understand and accept. 

However, I do not understand why my $500 lock rate fee has not been refunded. Both the Loan Consultant and Coordinator have stopped responding to my messages and calls. I request that you return my $500 lock rate fee, as you indicated it would be refunded if the application was denied on your end. I have also emailed through the experience email address, but have not received a response. It's been over a month now.";1;US;en;FALSE;797;2026;4/1/2026;1;Post-Betsy;0,1027
69d43eb55911c9c9ab74607b;4/7/2026 1:16;Handled everything very quickly and answered all the questions I had in a very timely manner.;5;US;en;TRUE;93;2026;4/1/2026;1;Post-Betsy;0
69d177c4f0bc83cb2726d03e;4/4/2026 22:42;Wonderful company to work with made this process very very smooth from start to finish!!! Thank you to Steve and Phil for everything!!;5;US;en;TRUE;134;2026;4/1/2026;1;Post-Betsy;0,811
69cedc8cbe9433a140b67330;4/2/2026 23:15;Easy process.  Home equity line of credit funded in 10 days that included 2 weekends.;5;US;en;TRUE;85;2026;4/1/2026;1;Post-Betsy;0,6705
69ce7bb4ae49b1b2824ad1f4;4/2/2026 16:22;"This was one of the best experiences I?àôve had doing business with a company. Time lines were met and the actual business transaction was done in a very timely fashion.

Timothy made sure we kept informed about every aspect of the process, his professional attitude and experience made the entire process seem seamless. The entire team should be commended for a job well done.";5;US;en;TRUE;375;2026;4/1/2026;1;Post-Betsy;0,8885
